LoincNumber,LongCommonName,PartNumber,PartTypeName,PartName,PartSequenceOrder,RID,PreferredName,RPID,LongName
24536-5,XR Acromioclavicular Joint,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
24536-5,XR Acromioclavicular Joint,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24536-5,XR Acromioclavicular Joint,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,,
24536-5,XR Acromioclavicular Joint,LP207519-2,Rad.Anatomic Location.Imaging Focus,Acromioclavicular joint,A,RID1895,acromioclavicular joint,,
24537-3,US Guidance for aspiration of amniotic fluid of Uterus,LP200033-1,Rad.Anatomic Location.Imaging Focus,Uterus,A,RID302,Uterus,,
24537-3,US Guidance for aspiration of amniotic fluid of Uterus,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,,
24537-3,US Guidance for aspiration of amniotic fluid of Uterus,LP199998-8,Rad.Anatomic Location.Region Imaged,Pelvis,A,RID2507,Pelvis,,
24537-3,US Guidance for aspiration of amniotic fluid of Uterus,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24537-3,US Guidance for aspiration of amniotic fluid of Uterus,LP200039-8,Rad.Guidance for.Action,Aspiration,A,RID10398,Aspiration of bodily substance,,
24537-3,US Guidance for aspiration of amniotic fluid of Uterus,LP208080-4,Rad.Guidance for.Object,Amniotic fluid,A,RID49955,Amniotic fluid,,
24538-1,MR Ankle,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
24538-1,MR Ankle,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
24538-1,MR Ankle,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
24538-1,MR Ankle,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,,
24538-1,MR Ankle,LP199957-4,Rad.Anatomic Location.Imaging Focus,Ankle,A,RID28545,Ankle,,
24539-9,MR Ankle WO and W contrast IV,LP199957-4,Rad.Anatomic Location.Imaging Focus,Ankle,A,RID28545,Ankle,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,RPID514,MR Ankle w and wo IV Contrast
24539-9,MR Ankle WO and W contrast IV,LP200090-1,Rad.Timing,WO & W,A,RID49855,WO & W,RPID514,MR Ankle w and wo IV Contrast
24540-7,XR Ankle 2 views,LP220530-2,Rad.View.Aggregation,Views 2,A,RID43403,2 views,RPID2497,XR Ankle 2 Views
24540-7,XR Ankle 2 views,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,RPID2497,XR Ankle 2 Views
24540-7,XR Ankle 2 views,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,RPID2497,XR Ankle 2 Views
24540-7,XR Ankle 2 views,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,RPID2497,XR Ankle 2 Views
24540-7,XR Ankle 2 views,LP199957-4,Rad.Anatomic Location.Imaging Focus,Ankle,A,RID28545,Ankle,RPID2497,XR Ankle 2 Views
24540-7,XR Ankle 2 views,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,RPID2497,XR Ankle 2 Views
24541-5,XR Ankle,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24541-5,XR Ankle,LP199957-4,Rad.Anatomic Location.Imaging Focus,Ankle,A,RID28545,Ankle,,
24541-5,XR Ankle,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,,
24541-5,XR Ankle,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
24541-5,XR Ankle,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
24541-5,XR Ankle,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24542-3,US Anus,LP199998-8,Rad.Anatomic Location.Region Imaged,Pelvis,A,RID2507,Pelvis,,
24542-3,US Anus,LP199912-9,Rad.Anatomic Location.Imaging Focus,Anus,A,RID164,Anus,,
24542-3,US Anus,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP200071-1,Rad.Pharmaceutical.Route,IA,A,RID11108,Intra-arterial,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP199915-2,Rad.Anatomic Location.Imaging Focus,Aorta.thoracic,A.A,RID879,Thoracic aorta,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A.A,RID1243,Thorax,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A.B,RID56,Abdomen,,
24543-1,RFA Guidance for angioplasty of Thoracic and abdominal aorta-- W contrast IA,LP199914-5,Rad.Anatomic Location.Imaging Focus,Aorta.abdominal,A.B,RID905,Abdominal aorta,,
24544-9,CT Thoracic Aorta,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
24544-9,CT Thoracic Aorta,LP199915-2,Rad.Anatomic Location.Imaging Focus,Aorta.thoracic,A,RID879,Thoracic aorta,,
24544-9,CT Thoracic Aorta,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
24545-6,CT Thoracic Aorta W contrast IV,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
24545-6,CT Thoracic Aorta W contrast IV,LP199915-2,Rad.Anatomic Location.Imaging Focus,Aorta.thoracic,A,RID879,Thoracic aorta,,
24545-6,CT Thoracic Aorta W contrast IV,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
24545-6,CT Thoracic Aorta W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
24545-6,CT Thoracic Aorta W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24545-6,CT Thoracic Aorta W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24547-2,US Thoracic and abdominal aorta,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,,
24547-2,US Thoracic and abdominal aorta,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A.A,RID1243,Thorax,,
24547-2,US Thoracic and abdominal aorta,LP199915-2,Rad.Anatomic Location.Imaging Focus,Aorta.thoracic,A.A,RID879,Thoracic aorta,,
24547-2,US Thoracic and abdominal aorta,LP199914-5,Rad.Anatomic Location.Imaging Focus,Aorta.abdominal,A.B,RID905,Abdominal aorta,,
24547-2,US Thoracic and abdominal aorta,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A.B,RID56,Abdomen,,
24548-0,US Appendix,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,RPID1969,US Pelvis Appendix
24548-0,US Appendix,LP199917-8,Rad.Anatomic Location.Imaging Focus,Appendix,A,RID168,Appendix,RPID1969,US Pelvis Appendix
24548-0,US Appendix,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A.A,RID56,Abdomen,RPID1969,US Pelvis Appendix
24548-0,US Appendix,LP199998-8,Rad.Anatomic Location.Region Imaged,Pelvis,A.A,RID2507,Pelvis,RPID1969,US Pelvis Appendix
24549-8,MRA Upper extremity vessels W contrast IV,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
24549-8,MRA Upper extremity vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
24549-8,MRA Upper extremity vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24549-8,MRA Upper extremity vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24549-8,MRA Upper extremity vessels W contrast IV,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,,
24549-8,MRA Upper extremity vessels W contrast IV,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
24549-8,MRA Upper extremity vessels W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
24549-8,MRA Upper extremity vessels W contrast IV,LP207136-5,Rad.Anatomic Location.Imaging Focus,Upper extremity vessels,A,RID49863,Set of upper extremity vessels,,
24549-8,MRA Upper extremity vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24550-6,RFA Upper extremity veins W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24550-6,RFA Upper extremity veins W contrast IV,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24550-6,RFA Upper extremity veins W contrast IV,LP207302-3,Rad.Anatomic Location.Imaging Focus,Upper extremity veins,A,RID49944,Set of upper extremity veins,,
24550-6,RFA Upper extremity veins W contrast IV,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
24550-6,RFA Upper extremity veins W contrast IV,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A,RID49843,Unspecified laterality,,
24550-6,RFA Upper extremity veins W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24550-6,RFA Upper extremity veins W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24550-6,RFA Upper extremity veins W contrast IV,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24550-6,RFA Upper extremity veins W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
24550-6,RFA Upper extremity veins W contrast IV,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
24551-4,RFA AV fistula W contrast IA,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
24551-4,RFA AV fistula W contrast IA,LP200071-1,Rad.Pharmaceutical.Route,IA,A,RID11108,Intra-arterial,,
24551-4,RFA AV fistula W contrast IA,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24551-4,RFA AV fistula W contrast IA,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24551-4,RFA AV fistula W contrast IA,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24551-4,RFA AV fistula W contrast IA,LP208115-8,Rad.Anatomic Location.Imaging Focus,AV fistula,A,RID4851,arteriovenous fistula,,
24551-4,RFA AV fistula W contrast IA,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24551-4,RFA AV fistula W contrast IA,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24552-2,RF Stent W contrast intra stent,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24552-2,RF Stent W contrast intra stent,LP249196-9,Rad.Anatomic Location.Imaging Focus,Stent,A,RID5598,Stent,,
24552-2,RF Stent W contrast intra stent,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24552-2,RF Stent W contrast intra stent,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24552-2,RF Stent W contrast intra stent,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24552-2,RF Stent W contrast intra stent,LP248711-6,Rad.Pharmaceutical.Route,Intra stent,A,RID50256,Intra stent,,
24552-2,RF Stent W contrast intra stent,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP249824-6,Rad.Anatomic Location.Imaging Focus,Intracranial vessel,A,RID50268,Intracranial vessel,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24553-0,RFA Guidance for embolectomy of Vessel intracranial-- W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP208397-2,Rad.Anatomic Location.Imaging Focus,Artery,A,RID478,artery,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP264920-2,Rad.Guidance for.Action,Embolization,A,RID10404,embolization,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP200071-1,Rad.Pharmaceutical.Route,IA,A,RID11108,Intra-arterial,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24554-8,RFA Guidance for embolization of Artery-- W contrast IA,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
24555-5,RFA Guidance for placement of stent in Artery,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
24555-5,RFA Guidance for placement of stent in Artery,LP200050-5,Rad.Guidance for.Action,Placement,A,RID28707,device placement procedure,,
24555-5,RFA Guidance for placement of stent in Artery,LP248514-4,Rad.Guidance for.Object,Stent,A,RID5598,Stent,,
24555-5,RFA Guidance for placement of stent in Artery,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24555-5,RFA Guidance for placement of stent in Artery,LP208397-2,Rad.Anatomic Location.Imaging Focus,Artery,A,RID478,artery,,
24555-5,RFA Guidance for placement of stent in Artery,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24555-5,RFA Guidance for placement of stent in Artery,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24556-3,MR Abdomen,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
24556-3,MR Abdomen,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24557-1,MR Abdomen WO and W contrast IV,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,RPID474,MR Abdomen w and wo IV Contrast
24557-1,MR Abdomen WO and W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,RPID474,MR Abdomen w and wo IV Contrast
24557-1,MR Abdomen WO and W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,RPID474,MR Abdomen w and wo IV Contrast
24557-1,MR Abdomen WO and W contrast IV,LP200090-1,Rad.Timing,WO & W,A,RID49855,WO & W,RPID474,MR Abdomen w and wo IV Contrast
24557-1,MR Abdomen WO and W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,RPID474,MR Abdomen w and wo IV Contrast
24558-9,US Abdomen,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,RPID1929,US Abdomen
24558-9,US Abdomen,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,RPID1929,US Abdomen
24559-7,US Guidance for drainage of Abdomen,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24559-7,US Guidance for drainage of Abdomen,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24559-7,US Guidance for drainage of Abdomen,LP200044-8,Rad.Guidance for.Action,Drainage,A,RID10417,Drainage,,
24559-7,US Guidance for drainage of Abdomen,LP207608-3,Rad.Modality.Modality type,US,A,RID10326,Ultrasound,,
24560-5,Portable XR Abdomen AP left lateral-decubitus,LP221204-3,Rad.Modality.Modality subtype,Portable,A,RID10383,portable,,
24560-5,Portable XR Abdomen AP left lateral-decubitus,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24560-5,Portable XR Abdomen AP left lateral-decubitus,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
24560-5,Portable XR Abdomen AP left lateral-decubitus,LP220554-2,Rad.View.View type,AP L-lateral-decubitus,A,RID10425,Left lateral decubitus position,,
24560-5,Portable XR Abdomen AP left lateral-decubitus,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24561-3,XR Abdomen AP left lateral-decubitus,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24561-3,XR Abdomen AP left lateral-decubitus,LP220554-2,Rad.View.View type,AP L-lateral-decubitus,A,RID10425,Left lateral decubitus position,,
24561-3,XR Abdomen AP left lateral-decubitus,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
24561-3,XR Abdomen AP left lateral-decubitus,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24562-1,XR Abdomen left lateral-decubitus and right lateral-decubitus,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24562-1,XR Abdomen left lateral-decubitus and right lateral-decubitus,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24562-1,XR Abdomen left lateral-decubitus and right lateral-decubitus,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24562-1,XR Abdomen left lateral-decubitus and right lateral-decubitus,LP245417-3,Rad.View.View type,L-lateral-decubitus,A.A,RID10425,Left lateral decubitus position,,
24562-1,XR Abdomen left lateral-decubitus and right lateral-decubitus,LP245418-1,Rad.View.View type,R-lateral-decubitus,A.B,RID10424,Right lateral decubitus position,,
24563-9,XR Abdomen AP right lateral-decubitus,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24563-9,XR Abdomen AP right lateral-decubitus,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
24563-9,XR Abdomen AP right lateral-decubitus,LP220555-9,Rad.View.View type,AP R-lateral-decubitus,A,RID10424,Right lateral decubitus position,,
24563-9,XR Abdomen AP right lateral-decubitus,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24564-7,Portable XR Abdomen AP upright,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
24564-7,Portable XR Abdomen AP upright,LP221204-3,Rad.Modality.Modality subtype,Portable,A,RID10383,portable,,
24564-7,Portable XR Abdomen AP upright,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
24564-7,Portable XR Abdomen AP upright,LP220611-0,Rad.View.View type,upright,A,RID10455,Upright position,,
24564-7,Portable XR Abdomen AP upright,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24566-2,CT Retroperitoneum,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
24566-2,CT Retroperitoneum,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
24566-2,CT Retroperitoneum,LP199943-4,Rad.Anatomic Location.Imaging Focus,Retroperitoneum,A,RID431,RETROPERITONEUM,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP208115-8,Rad.Anatomic Location.Imaging Focus,AV fistula,A,RID4851,arteriovenous fistula,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
24568-8,RFA Guidance for atherectomy of AV fistula-- W contrast IV,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
24569-6,RFA AV shunt W contrast IV,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
24569-6,RFA AV shunt W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
